conc,run1,run2
1,0.484347608,
1,0.55400558,
1,0.539246779,
1.5,0.748219373,
1.5,0.827790433,
1.5,0.782265257,
2,1.026361196,222
2,1.090742996,221
2,1.051596204,223
2.5,1.236707239,
2.5,1.35312109,
2.5,1.289152233,
3,1.597173603,
3,1.699483274,
3,1.612586779,
4,2.097039711,
4,2.156546157,
4,1.985026243,
5,2.547279571,
5,2.755404323,
5,2.614723416,
6,3.139280454,
6,3.206027336,
6,3.169464773,
8,4.240542763,
8,4.458616721,
8,4.281893593,
10,5.366694108,
10,5.515852255,
10,5.200873362,
1.2,,123.321
1.2,,124.315
1.2,,125.121
