conc,run1,run2,run3
1,0.521421496,0.484347608,0.511293203
1.5,0.744942649,0.748219373,0.806107079
2,0.988877985,1.026361196,1.015886915
2.5,1.110831762,1.236707239,1.283232531
3,1.395733231,1.597173603,1.540787442
4,1.984260558,2.097039711,2.047812952
5,2.39435325,2.547279571,2.513638413
6,2.888517745,3.139280454,3.088627563
8,3.911409806,4.240542763,4.231914894
10,4.903667482,5.366694108,5.171892999
1,0.463877702,0.55400558,0.53751789
1.5,0.672819785,0.827790433,0.763734291
2,0.926309054,1.090742996,0.996870926
2.5,1.155224152,1.35312109,1.238665094
3,1.371667586,1.699483274,1.513011945
4,1.909969864,2.156546157,2.182412981
5,2.308745247,2.755404323,2.550249207
6,2.675136497,3.206027336,3.308165778
8,3.636455594,4.458616721,4.144950706
10,4.554772667,5.515852255,4.936451108
1,0.45847554,0.539246779,0.595727198
1.5,0.674004067,0.782265257,0.780042463
2,0.881423488,1.051596204,1.115581676
2.5,1.077596867,1.289152233,1.299934512
3,1.342625,1.612586779,1.658675273
4,1.808982684,1.985026243,2.115534521
5,2.21972219,2.614723416,2.681035651
6,2.760301,3.169464773,3.125598802
8,3.816111169,4.281893593,4.160040775
10,4.908265213,5.200873362,5.128078818
