conc,run1,run2
1,0.511421496,0.541421496
1,0.453877702,0.483877702
1,0.44847554,0.47847554
2.25,0.734942649,0.764942649
2.25,0.662819785,0.692819785
2.25,0.664004067,0.694004067
4,0.978877985,1.008877985
4,0.916309054,0.946309054
4,0.871423488,0.901423488
6.25,1.100831762,1.130831762
6.25,1.145224152,1.175224152
6.25,1.067596867,1.097596867
9,1.385733231,1.415733231
9,1.361667586,1.391667586
9,1.332625,1.362625
16,1.974260558,2.004260558
16,1.899969864,1.929969864
16,1.798982684,1.828982684
25,2.38435325,2.41435325
25,2.298745247,2.328745247
25,2.20972219,2.23972219
36,2.878517745,2.908517745
36,2.665136497,2.695136497
36,2.750301,2.780301
64,3.901409806,3.931409806
64,3.626455594,3.656455594
64,3.806111169,3.836111169
100,4.893667482,4.923667482
100,4.544772667,4.574772667
100,4.898265213,4.928265213
